"TSE number","names"
"19810","協和日成 | KYOWANISSEI | キョウワニッセイ"
"19800","ダイダン | DAI-DAN | ダイダン"
"18990","福田組 | FUKUDA | フクダグミ"
"18730","日本ハウスホールディングス | NIHON HOUSE HOLDINGS | ニホンハウスホールディングス"
"18690","名工建設 | MEIKO CONSTRUCTION | メイコウケンセツ"
"19140","日本基礎技術 | japan foundation engineering | ニホンキソギジュツ"
"19300","北陸電気工事 | hokuriku electrical construction | ホクリクデンキコウジ"
"97430","丹青社 | tanseisha | タンセイシャ"
"19660","高田工業所 | TAKADA | タカダコウギョウショ"
"19730","ＮＥＣネッツエスアイ | NEC Networks & System Integration | エヌイーシーネッツエスアイ"
"18780","大東建託 | DAITO TRUST CONSTRUCTION | ダイトウケンタク"
"18790","新日本建設 | SHINNIHON | シンニホンケンセツカブシキカイシャ"
"19940","高橋カーテンウォール工業 | TAKAHASHI  CURTAIN  WALL | タカハシカーテンウォールコウギョウ"
"19650","テクノ菱和 | TECHNO RYOWA LTD. | テクノリョウワ"
"19520","新日本空調 | Shin Nippon Air Technologies | シンニッポンクウチョウ"
"19050","テノックス | tenox | テノックス"
"19040","大成温調 | taisei oncho | タイセイオンチョウ"
"18480","富士ピー・エス | FUJI P.S | フジピーエス"
"18440","大盛工業 | OHMORI | オオモリコウギョウ"
"18400","土屋ホールディングス | TSUCHIYA HOLDINGS | ツチヤホールディングス"
"18280","田辺工業 | TANABE ENGINEERING | タナベコウギョウ"
"19970","暁飯島工業 | AKATSUKI EAZIMA | アカツキイイジマコウギョウ"
"19990","サイタホールディングス | SAITA | サイタホールディングス"
"17990","第一建設工業 | DAIICHI KENSETSU | ダイイチケンセツコウギョウ"
"17980","守谷商会 | MORIYA | モリヤショウカイ"
"17950","マサル | MASARU | マサル"
"17930","大本組 | OHMOTO GUMI CO.,LTD | オオモトグミ"
"17890","ＥＴＳホールディングス | ETS Holdings | イーティーエスホールディングス"
"17880","三東工業社 | santo co.,ltd | サントウコウギョウシャ"
"17870","ナカボーテック | Nakabohtec Corrosion Protecting | ナカボーテック"
"17830","ｆａｎｔａｓｉｓｔａ | Fantasista | ファンタジスタ"
"17800","ヤマウラ | YAMAURA | ヤマウラ"
"17770","川崎設備工業 | KAWASAKI SETSUBI KOGYO | カワサキセツビコウギョウ"
"17760","三井住建道路 | SUMIKEN MITSUI ROAD | ミツイスミケンドウロ"
"17750","富士古河Ｅ＆Ｃ | FUJI FURUKAWA ENGINEERING & CONSTRUCTION CO.LTD. | フジフルカワイーアンドシー"
"17710","日本乾溜工業 | NIPPON  KANRYU  INDUSTRY | ニホンカンリユウコウギヨウカブシキガイシヤ"
"17700","藤田エンジニアリング | FUJITA ENGINEERING | フジタエンジニアリング"
"17680","ソネック | SONEC | ソネック"
"17660","東建 | TOKEN | トウケン"
"17640","工藤建設 | KUDO | クドウケンセツ"
"17620","髙松コンストラクショングループ | TAKAMATSU CONSTRUCTION GROUP | タカマツコンストラクショングループ"
"17580","太洋基礎工業 | Taiyo Kisokogyo | タイヨウキソコウギョウ"
"17570","創建エース | Souken Ace Co., Ltd | ソウケンエース"
"17430","コーアツ工業 | KOATSU KOGYO | コーアツコウギョウ"
"17360","オーテック | OTEC | オーテック"
"17300","麻生フオームクリート | ASO FOAM CRETE | アソウフオームクリート"
"89040","ＡＶＡＮＴＩＡ | AVANTIA | アバンティア"
"17260","ビーアールホールディングス | Br.Holdings | ビーアールホールディングス"
"17230","日本電技 | NIHON DENGI | ニホンデンギ"
"17180","美樹工業 | MIKIKOGYO | ミキコウギョウ"
"17200","東急建設 | TOKYU CONSTRUCTION | トウキュウケンセツ"
"17190","安藤・間 | HAZAMA ANDO | アンドウハザマ"
"17160","第一カッター興業 | DAI-ICHI CUTTER KOGYO K.K. | ダイイチカッターコウギョウ"
"17210","コムシスホールディングス | COMSYS Holdings | コムシスホールディングス"
"14010","エムビーエス | mbs, | エムビーエス"
"14070","ウエストホールディングス | West Holdings | ウエストホールディングス"
"14140","ショーボンドホールディングス | SHO-BOND Holdings Co.,  Ltd. | ショーボンドホールディングス"
"22640","森永乳業 | MORINAGA MILK INDUSTRY CO.,LTD | モリナガニュウギョウ"
"22820","日本ハム | NH Foods Ltd. | ニッポンハム"
"22810","プリマハム | Prima Meat Packers, Ltd. | プリマハム"
"22660","六甲バター | ROKKO BUTTER | ロッコウバター"
"22910","福留ハム | FUKUTOME MEAT PACKERS, LTD. | フクトメハム"
"22920","エスフーズ | s foods | エスフーズ"
"22930","滝沢ハム | TAKIZAWA HAM | タキザワハム"
"13800","秋川牧園 | アキカワボクエン"
"20010","ニップン | NIPPN | ニップン"
"20020","日清製粉グループ本社 | NISSHIN SEIFUN GROUP | ニッシンセイフングループホンシャ"
"20030","日東富士製粉 | NITTO FUJI FLOUR MILLING | ニットウフジセイフン"
"20040","昭和産業 | Showa Sangyo | ショウワサンギョウ"
"20090","鳥越製粉 | トリゴエセイフン"
"21070","東洋精糖 | Toyo Sugar Refining | トウヨウセイトウ"
"21080","日本甜菜製糖 | Nippon Beet Sugar Manufacturing | ニッポンテンサイセイトウカブシキカイシャ"
"21090","ＤＭ三井製糖ホールディングス | Mitsui DM Sugar Holdings | ディーエムミツイセイトウホールディングス"
"21140","フジ日本精糖 | Fuji Nihon Seito | フジニホンセイトウ"
"21120","塩水港精糖 | Ensuiko Sugar Refining | エンスイコウセイトウ"
"22010","森永製菓 | Morinaga& | モリナガセイカ"
"22090","井村屋グループ | IMURAYA GROUP | イムラヤグループ"
"22040","中村屋 | NAKAMURAYA | ナカムラヤ"
"22060","江崎グリコ | EZAKI GLICO | エザキグリコ"
"22110","不二家 | Fujiya Co.,Ltd | フジヤ"
"22120","山崎製パン | YAMAZAKI BAKING | ヤマザキセイパン"
"22070","名糖産業 | Meito  Sangyo | メイトウサンギョウ"
"22150","第一屋製パン | FIRST BAKING | ダイイチヤセイパン"
"22160","カンロ | Kanro | カンロ"
"22080","ブルボン | BOURBON | ブルボン"
"22170","モロゾフ | Morozoff Limited | モロゾフ"
"22180","日糧製パン | NICHIRYO BAKING | ニチリョウセイパン"
"22200","亀田製菓 | KAMEDA SEIKA | カメダセイカ"
"22210","岩塚製菓 | IWATSUKA CONFECTIONERY | イワツカセイカ"
"22220","寿スピリッツ | Kotobuki Spirits | コトブキスピリッツ"
"22240","コモ | COMO | コモ"
"22260","湖池屋 | KOIKE-YA | コイケヤ"
"33460","ヒロタグループホールディングス | HIROTA GROUP HOLDINGS | ヒロタグループホールディングス"
"25010","サッポロホールディングス | SAPPORO HOLDINGS LIMITED | サッポロホールディングス"
"25020","アサヒグループホールディングス | ASAHI GROUP HOLDINGS,LTD. | アサヒグループホールディングス"
"25030","キリンホールディングス | Kirin Holdings Company, Limited | キリンホールディングス"
"25310","宝ホールディングス | TAKARA HOLDINGS | タカラホールディングス"
"25330","オエノンホールディングス | Oenon Holdings, | オエノンホールディングス"
"25400","養命酒製造 | YOMEISHU SEIZO | ヨウメイシュセイゾウ"
"22670","ヤクルト本社 | YAKULT HONSHA | ヤクルトホンシャ"
"25730","北海道コカ・コーラボトリング | HOKKAIDO COCA-COLA BOTTLING | ホッカイドウコカコーラボトリング"
"25930","伊藤園 | ITO EN,LTD. | イトウエン"
"25790","コカ・コーラボトラーズジャパンホールディングス | Coca-Cola Bottlers Japan Holdings | コカコーラボトラーズジャパンホールディングス"
"25990","ジャパンフーズ | JAPAN FOODS | ジャパンフーズ"
"25510","マルサンアイ | MARUSAN-AI | マルサンアイ"
"25900","ダイドーグループホールディングス | DyDo GROUP HOLDINGS, | ダイドーグループホールディングス"
"26020","日清オイリオグループ | The Nisshin OilliO Group, Ltd. | ニッシンオイリオグループ"
"26070","不二製油グループ本社 | FUJI OIL HOLDINGS | フジセイユグループホンシャ"
"26120","かどや製油 | KADOYA SESAME MILLS INCORPORATED | カドヤセイユ"
"26130","Ｊ－オイルミルズ | J-OIL MILLS, | ジェイオイルミルズ"
"28010","キッコーマン | KIKKOMAN | キッコーマン"
"28020","味の素 | Ajinomoto Co., | アジノモト"
"20530","中部飼料 | チュウブシリョウ"
"28920","日本食品化工 | NIHON SHOKUHIN KAKO | ニホンショクヒンカコウ"
"22860","林兼産業 | Hayashikane Sangyo | ハヤシカネサンギョウ"
"28110","カゴメ | KAGOME | カゴメ"
"28710","ニチレイ | NICHIREI | ニチレイ"
"28720","セイヒョー | SEIHYO CO.,Ltd. | セイヒョー"
"42290","群栄化学工業 | Gun Ei Chemical Industry | グンエイカガクコウギョウ"
"28050","ヱスビー食品 | S&B FOODS | エスビーショクヒン"
"28940","石井食品 | Ishii Food | イシイショクヒン"
"20550","日和産業 | NICHIWA SANGYO | ニチワサンギョウ"
"80060","ユアサ・フナショク | YUASA FUNASHOKU | ユアサ　フナショク"
"28970","日清食品ホールディングス | NISSIN FOODS HOLDINGS | ニッシンショクヒンホールディングス"
"22880","丸大食品 | MARUDAI FOOD | マルダイショクヒン"
"28750","東洋水産 | TOYO SUISAN KAISHA, LTD. | トウヨウスイサン"
"28100","ハウス食品グループ本社 | HOUSE FOODS GROUP | ハウスショクヒングループホンシャ"
"28090","キユーピー | Kewpie | キューピー"
"28060","ユタカフーズ | YUTAKA FOODS | ユタカフーズ"
"28040","ブルドックソース | BULL-DOG SAUCE | ブルドックソース"
"28990","永谷園ホールディングス | NAGATANIEN HOLDINGS | ナガタニエンホールディングス"
"29010","ウェルディッシュ | Wel-Dish. Incorporated | ウェルディッシュ"
"29020","太陽化学 | TAIYOKAGAKU | タイヨウカガク"
"29030","シノブフーズ | shinobu foods products co., ltd | シノブフーズ"
"22680","Ｂ－Ｒ　サーティワン　アイスクリーム | B-R 31 ICE CREAM | ビーアールサーティワンアイスクリーム"
"29040","一正蒲鉾 | ICHIMASA KAMABOKO | イチマサカマボコカブシキカイシャ"
"28130","和弘食品 | Wakou Shokuhin | ワコウショクヒン"
"29070","あじかん | ahjikanco.,ltd | アジカン"
"29080","フジッコ | FUJICCO | フジッコ"
"29100","ロック・フィールド | ROCK FIELD | ロックフィールド"
"28140","佐藤食品工業 | SATO FOODS INDUSTRIES | サトウショクヒンコウギョウ"
"28150","アリアケジャパン | ARIAKE JAPAN | アリアケジャパン"
"29110","旭松食品 | ASAHIMATSU FOODS | アサヒマツショクヒン"
"28760","デルソーレ | Delsole | デルソーレ"
"25940","キーコーヒー | key coffee inc | キーコーヒー"
"29140","日本たばこ産業 | JAPAN TOBACCO | ニホンタバコサンギョウ"
"29150","ケンコーマヨネーズ | KENKO Mayonnaise | ケンコーマヨネーズ"
"29160","仙波糖化工業 | Semba Tohka Industries Co. ,Ltd | センバトウカコウギョウ"
"29170","大森屋 | OHMORIYA Co., LTD | オオモリヤ"
"29180","わらべや日洋ホールディングス | WARABEYA NICHIYO HOLDINGS | ワラベヤニチヨウホールディングス"
"29190","マルタイ | marutai co.,ltd | マルタイ"
"28770","日東ベスト | NittoBest | ニットウベスト"
"28160","ダイショー | DAISHO | ダイショー"
"20580","ヒガシマル | HIGASHIMARU | ヒガシマル"
"28300","アヲハタ | AOHATA | アオハタ"
"25970","ユニカフェ | UNICAFE | ユニカフェ"
"29220","なとり | NATORI | ナトリ"
"28310","はごろもフーズ | HAGOROMO FOODS | ハゴロモフーズ"
"29230","サトウ食品 | SATO FOODS | サトウショクヒン"
"29240","イフジ産業 | Ifuji Sangyo | イフジサンギョウ"
"28180","ピエトロ | PIETRO | ピエトロ"
"28190","エバラ食品工業 | EBARAFoodsIndustry, | エバラショクヒンコウギョウ"
"29260","篠崎屋 | SHINOZAKIYA, | シノザキヤ"
"29280","ＲＩＺＡＰグループ | RIZAP GROUP, | ライザップグループ"
"30020","グンゼ | GUNZE LIMITED | グンゼ"
"30100","ポラリス・ホールディングス | Polaris Holdings | ポラリスホールディングス"
"30030","ヒューリック | Hulic | ヒューリック"
"30010","片倉工業 | Katakura  Industries | カタクラコウギョウ"
"31010","東洋紡 | TOYOBO | トウヨウボウカブシキガイシヤ"
"31030","ユニチカ | UNITIKA LTD. | ユニチカ"
"31060","倉敷紡績 | KURABO INDUSTRIES LTD. | クラシキボウセキ"
"31070","ダイワボウホールディングス | Daiwabo Holdings | ダイワボウホールディングス"
"31090","シキボウ | SHIKIBO LTD. | シキボウ"
"31110","オーミケンシ | OMIKENSHI | オーミケンシ"
"31230","サイボー | SAIBO | サイボー"
"31160","トヨタ紡織 | TOYOTA BOSHOKU | トヨタボウショク"
"31130","ＵＮＩＶＡ・Ｏａｋホールディングス | UNIVA Oak Holdings Limited | ユニヴァオークホールディングス"
"31100","日東紡績 | NITTO BOSEKI | ニットウボウセキ"
"31040","富士紡ホールディングス | Fujibo Holdings, | フジボウホールディングス"
"31050","日清紡ホールディングス | Nisshinbo Holdings | ニッシンボウホールディングス"
"31210","マーチャント・バンカーズ | MBK | マーチャントバンカーズ"
"32020","ダイトウボウ | Daitobo | ダイトウボウ"
"32050","ダイドーリミテッド | DAIDOH LIMITED | ダイドーリミテッド"
